enterprise-attack-v19.2.xlsx - techniques - cloud-matrix - platform contains Office Suite_or_Identity Provider_or_SaaS_or_IaaS,,,,,,,,,,,,,,,,
ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,platforms,is sub-technique,sub-technique of,contributors,supports remote,impact type,relationship citations
T1548,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b,Abuse Elevation Control Mechanism,Adversaries may circumvent mechanisms designed to control privilege elevation to gain higher-level permissions. Most modern systems contain native elevation control mechanisms that are intended to limit privileges that a user can perform on a machine. Authorization has to be granted to specific users in order to perform tasks that can be considered of higher risk.(Citation: TechNet How UAC Works)(Citation: sudo man page 2018) An adversary can perform several methods to take advantage of built-in control mechanisms in order to escalate privileges on a system.(Citation: OSX Keydnap malware)(Citation: Fortinet Fareit),https://attack.mitre.org/techniques/T1548,30 January 2020,12 May 2026,enterprise-attack,2,Privilege Escalation,"IaaS, Identity Provider, Linux, Office Suite, Windows, macOS",FALSE,,,,,"(Citation: Google Cloud Threat Intelligence ESXi VIBs 2022),(Citation: TrendMicro RaspberryRobin 2022),(Citation: Github UACMe),"
T1548.005,attack-pattern--6fa224c7-5091-4595-bf15-3fc9fe2f2c7c,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,"Adversaries may abuse permission configurations that allow them to gain temporarily elevated access to cloud resources. Many cloud environments allow administrators to grant user or service accounts permission to request just-in-time access to roles, impersonate other accounts, pass roles onto resources and services, or otherwise gain short-term access to a set of privileges that may be distinct from their own. 

Just-in-time access is a mechanism for granting additional roles to cloud accounts in a granular, temporary manner. This allows accounts to operate with only the permissions they need on a daily basis, and to request additional permissions as necessary. Sometimes just-in-time access requests are configured to require manual approval, while other times the desired permissions are automatically granted.(Citation: Azure Just in Time Access 2023)

Account impersonation allows user or service accounts to temporarily act with the permissions of another account. For example, in GCP users with the `iam.serviceAccountTokenCreator` role can create temporary access tokens or sign arbitrary payloads with the permissions of a service account, while service accounts with domain-wide delegation permission are permitted to impersonate Google Workspace accounts.(Citation: Google Cloud Service Account Authentication Roles)(Citation: Hunters Domain Wide Delegation Google Workspace 2023)(Citation: Google Cloud Just in Time Access 2023)(Citation: Palo Alto Unit 42 Google Workspace Domain Wide Delegation 2023) In Exchange Online, the `ApplicationImpersonation` role allows a service account to use the permissions associated with specified user accounts.(Citation: Microsoft Impersonation and EWS in Exchange) 

Many cloud environments also include mechanisms for users to pass roles to resources that allow them to perform tasks and authenticate to other services. While the user that creates the resource does not directly assume the role they pass to it, they may still be able to take advantage of the role's access -- for example, by configuring the resource to perform certain actions with the permissions it has been granted. In AWS, users with the `PassRole` permission can allow a service they create to assume a given role, while in GCP, users with the `iam.serviceAccountUser` role can attach a service account to a resource.(Citation: AWS PassRole)(Citation: Google Cloud Service Account Authentication Roles)

While users require specific role assignments in order to use any of these features, cloud administrators may misconfigure permissions. This could result in escalation paths that allow adversaries to gain access to resources beyond what was originally intended.(Citation: Rhino Google Cloud Privilege Escalation)(Citation: Rhino Security Labs AWS Privilege Escalation)

**Note:** this technique is distinct from [Additional Cloud Roles](https://attack.mitre.org/techniques/T1098/003), which involves assigning permanent roles to accounts rather than abusing existing permissions structures to gain temporarily elevated access to resources. However, adversaries that compromise a sufficiently privileged account may grant another account they control [Additional Cloud Roles](https://attack.mitre.org/techniques/T1098/003) that would allow them to also abuse these features. This may also allow for greater stealth than would be had by directly using the highly privileged account, especially when logs do not clarify when role impersonation is taking place.(Citation: CrowdStrike StellarParticle January 2022)",https://attack.mitre.org/techniques/T1548/005,10 July 2023,12 May 2026,enterprise-attack,2,Privilege Escalation,"IaaS, Identity Provider, Office Suite",TRUE,T1548,"Arad Inbar, Fidelis Security",,,",,"
T1531,attack-pattern--b24e2a20-3b3d-4bf0-823b-1ed765398fb0,Account Access Removal,"Adversaries may interrupt availability of system and network resources by inhibiting access to accounts utilized by legitimate users. Accounts may be deleted, locked, or manipulated (ex: changed credentials, revoked permissions for SaaS platforms such as Sharepoint) to remove access to accounts.(Citation: Obsidian Security SaaS Ransomware June 2023) Adversaries may also subsequently log off and/or perform a [System Shutdown/Reboot](https://attack.mitre.org/techniques/T1529) to set malicious changes into place.(Citation: CarbonBlack LockerGoga 2019)(Citation: Unit42 LockerGoga 2019)

In Windows, [Net](https://attack.mitre.org/software/S0039) utility, <code>Set-LocalUser</code> and <code>Set-ADAccountPassword</code> [PowerShell](https://attack.mitre.org/techniques/T1059/001) cmdlets may be used by adversaries to modify user accounts. Accounts could also be disabled by Group Policy. In Linux, the <code>passwd</code> utility may be used to change passwords. On ESXi servers, accounts can be removed or modified via esxcli (`system account set`, `system account remove`).

Adversaries who use ransomware or similar attacks may first perform this and other Impact behaviors, such as [Data Destruction](https://attack.mitre.org/techniques/T1485) and [Defacement](https://attack.mitre.org/techniques/T1491), in order to impede incident response/recovery before completing the [Data Encrypted for Impact](https://attack.mitre.org/techniques/T1486) objective. ",https://attack.mitre.org/techniques/T1531,09 October 2019,24 October 2025,enterprise-attack,1.5,Impact,"ESXi, IaaS, Linux, Office Suite, SaaS, Windows, macOS",FALSE,,"Arun Seelagan, CISA; Hubert Mank; Liran Ravich, CardinalOps",,Availability,"(Citation: MSTIC DEV-0537 Mar 2022),(Citation: Check Point Meteor Aug 2021),(Citation: Secureworks GOLD SAHARA),(Citation: Unit42 LockerGoga 2019),(Citation: IBM MegaCortex),(Citation: SentinelOne Agrius 2021),(Citation: CarbonBlack LockerGoga 2019),,"
T1087,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08,Account Discovery,"Adversaries may attempt to get a listing of valid accounts, usernames, or email addresses on a system or within a compromised environment. This information can help adversaries determine which accounts exist, which can aid in follow-on behavior such as brute-forcing, spear-phishing attacks, or account takeovers (e.g., [Valid Accounts](https://attack.mitre.org/techniques/T1078)).

Adversaries may use several methods to enumerate accounts, including abuse of existing tools, built-in commands, and potential misconfigurations that leak account names and roles or permissions in the targeted environment.

For examples, cloud environments typically provide easily accessible interfaces to obtain user lists.(Citation: AWS List Users)(Citation: Google Cloud - IAM Servie Accounts List API) On hosts, adversaries can use default [PowerShell](https://attack.mitre.org/techniques/T1059/001) and other command line functionality to identify accounts. Information about email addresses and accounts may also be extracted by searching an infected system’s files.",https://attack.mitre.org/techniques/T1087,31 May 2017,12 May 2026,enterprise-attack,2.6,Discovery,"ESXi, IaaS, Identity Provider, Linux, Office Suite, SaaS, Windows, macOS",FALSE,,"Daniel Stepanic, Elastic; Microsoft Threat Intelligence Center (MSTIC); Travis Smith, Tripwire",,,"(Citation: MalwareBytes WoodyRAT Aug 2022),(Citation: Fortinet Havoc MAR 2025),(Citation: Mandiant VMware vSphere JUL 2025),(Citation: Mandiant FIN13 Aug 2022),(Citation: FOX-IT May 2016 Mofang),(Citation: trendmicro xcsset xcode project 2020),(Citation: Anthropic AI Orchestrated Campaign NOV 2025),(Citation: Crowdstrike HuntReport 2022),(Citation: Volexity SolarWinds),(Citation: Zscaler),(Citation: UCF STIG Elevation Account Enumeration),"
T1087.004,attack-pattern--8f104855-e5b7-4077-b1f5-bc3103b41abe,Account Discovery: Cloud Account,"Adversaries may attempt to get a listing of cloud accounts. Cloud accounts are those created and configured by an organization for use by users, remote support, services, or for administration of resources within a cloud service provider or SaaS application.

With authenticated access there are several tools that can be used to find accounts. The <code>Get-MsolRoleMember</code> PowerShell cmdlet can be used to obtain account names given a role or permissions group in Office 365.(Citation: Microsoft msolrolemember)(Citation: GitHub Raindance) The Azure CLI (AZ CLI) also provides an interface to obtain user accounts with authenticated access to a domain. The command <code>az ad user list</code> will list all users within a domain.(Citation: Microsoft AZ CLI)(Citation: Black Hills Red Teaming MS AD Azure, 2018) 

The AWS command <code>aws iam list-users</code> may be used to obtain a list of users in the current account while <code>aws iam list-roles</code> can obtain IAM roles that have a specified path prefix.(Citation: AWS List Roles)(Citation: AWS List Users) In GCP, <code>gcloud iam service-accounts list</code> and <code>gcloud projects get-iam-policy</code> may be used to obtain a listing of service accounts and users in a project.(Citation: Google Cloud - IAM Servie Accounts List API)",https://attack.mitre.org/techniques/T1087/004,21 February 2020,24 October 2025,enterprise-attack,1.3,Discovery,"IaaS, Identity Provider, Office Suite, SaaS",TRUE,T1087,Praetorian,,,"(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: GitHub Pacu),(Citation: Roadtools),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: MSTIC Nobelium Oct 2021),(Citation: Hunt.io TeamPCP Toolkit MAY 2026),(Citation: AADInternals Documentation),,"
T1087.003,attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470,Account Discovery: Email Account,"Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation: Microsoft Exchange Address Lists)

In on-premises Exchange and Exchange Online, the <code>Get-GlobalAddressList</code> PowerShell cmdlet can be used to obtain email addresses and accounts from a domain using an authenticated session.(Citation: Microsoft getglobaladdresslist)(Citation: Black Hills Attacking Exchange MailSniper, 2016)

In Google Workspace, the GAL is shared with Microsoft Outlook users through the Google Workspace Sync for Microsoft Outlook (GWSMO) service. Additionally, the Google Workspace Directory allows for users to get a listing of other users within the organization.(Citation: Google Workspace Global Access List)",https://attack.mitre.org/techniques/T1087/003,21 February 2020,04 August 2026,enterprise-attack,1.2,Discovery,"Office Suite, Windows",TRUE,T1087,,,,"(Citation: Huntress Kali365 Device Code June 2026),(Citation: Symantec Dragonfly),(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: MSTIC Nobelium Toolset May 2021),(Citation: CISA Iran Albanian Attacks September 2022),(Citation: Trend Micro TA505 June 2019),(Citation: Black Hills Attacking Exchange MailSniper, 2016),(Citation: SensePost Ruler GitHub),(Citation: IBM IcedID November 2017),(Citation: DFIR Report APT35 ProxyShell March 2022),(Citation: ESET Grandoreiro April 2020),(Citation: ESET Telebots July 2017),(Citation: Trend Micro Trickbot Nov 2018),(Citation: Binary Defense Emotes Wi-Fi Spreader),(Citation: BiZone Lizar May 2021),(Citation: CIS Emotet Dec 2018),(Citation: group-ib_redcurl2),(Citation: group-ib_redcurl1),,"
T1098,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27,Account Manipulation,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups.(Citation: FireEye SMOKEDHAM June 2021) These actions could also include account activity designed to subvert security policies, such as performing iterative password updates to bypass password duration policies and preserve the life of compromised credentials. 

In order to create or manipulate accounts, the adversary must already have sufficient permissions on systems or the domain. However, account manipulation may also lead to privilege escalation where modifications grant access to additional roles, permissions, or higher-privileged [Valid Accounts](https://attack.mitre.org/techniques/T1078).",https://attack.mitre.org/techniques/T1098,31 May 2017,12 May 2026,enterprise-attack,2.8,"Persistence, Privilege Escalation","Containers, ESXi, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS",FALSE,,"Arad Inbar, Fidelis Security; Jannie Li, Microsoft Threat Intelligence Center (MSTIC); Praetorian; Tim MalcomVetter; Wojciech Lesicki",,,"(Citation: Adsecurity Mimikatz Guide),(Citation: Novetta Blockbuster),(Citation: Symantec Calisto July 2018),(Citation: Volexity Exchange Marauder March 2021),(Citation: Mandiant VMware vSphere JUL 2025),(Citation: Aikido Shai-Hulud September 2025),(Citation: Netskope Shai-Hulud November 2025),(Citation: Wiz Shai-Hulud September 2025),(Citation: Microsoft Silk Typhoon MAR 2025),(Citation: Dragos Crashoverride 2018),(Citation: Aqua Security Blog Trivy Compromise APR 2026),(Citation: Microsoft Shai-Hulud December 2025),(Citation: Metcalf 2015),(Citation: Novetta Blockbuster Destructive Malware),(Citation: Domain Tools Handala Hack Karma Homeland Justice MOIS April 2026),(Citation: SEC 8K Palo Alto Statement Stryker Corp Handala March 2026),,"
T1098.001,attack-pattern--8a2f40cf-8325-47f9-96e4-b1ca4c7389bd,Account Manipulation: Additional Cloud Credentials,"Adversaries may add adversary-controlled credentials to a cloud account to maintain persistent access to victim accounts and instances within the environment.

For example, adversaries may add credentials for Service Principals and Applications in addition to existing legitimate credentials in Azure / Entra ID.(Citation: Microsoft SolarWinds Customer Guidance)(Citation: Blue Cloud of Death)(Citation: Blue Cloud of Death Video) These credentials include both x509 keys and passwords.(Citation: Microsoft SolarWinds Customer Guidance) With sufficient permissions, there are a variety of ways to add credentials including the Azure Portal, Azure command line interface, and Azure or Az PowerShell modules.(Citation: Demystifying Azure AD Service Principals)

In infrastructure-as-a-service (IaaS) environments, after gaining access through [Cloud Accounts](https://attack.mitre.org/techniques/T1078/004), adversaries may generate or import their own SSH keys using either the <code>CreateKeyPair</code> or <code>ImportKeyPair</code> API in AWS or the <code>gcloud compute os-login ssh-keys add</code> command in GCP.(Citation: GCP SSH Key Add) This allows persistent access to instances within the cloud environment without further usage of the compromised cloud accounts.(Citation: Expel IO Evil in AWS)(Citation: Expel Behind the Scenes)

Adversaries may also use the <code>CreateAccessKey</code> API in AWS or the <code>gcloud iam service-accounts keys create</code> command in GCP to add access keys to an account. Alternatively, they may use the <code>CreateLoginProfile</code> API in AWS to add a password that can be used to log into the AWS Management Console for [Cloud Service Dashboard](https://attack.mitre.org/techniques/T1538).(Citation: Permiso Scattered Spider 2023)(Citation: Lacework AI Resource Hijacking 2024) If the target account has different permissions from the requesting account, the adversary may also be able to escalate their privileges in the environment (i.e. [Cloud Accounts](https://attack.mitre.org/techniques/T1078/004)).(Citation: Rhino Security Labs AWS Privilege Escalation)(Citation: Sysdig ScarletEel 2.0) For example, in Entra ID environments, an adversary with the Application Administrator role can add a new set of credentials to their application's service principal. In doing so the adversary would be able to access the service principal’s roles and permissions, which may be different from those of the Application Administrator.(Citation: SpecterOps Azure Privilege Escalation) 

In AWS environments, adversaries with the appropriate permissions may also use the `sts:GetFederationToken` API call to create a temporary set of credentials to [Forge Web Credentials](https://attack.mitre.org/techniques/T1606) tied to the permissions of the original user account. These temporary credentials may remain valid for the duration of their lifetime even if the original account’s API credentials are deactivated.
(Citation: Crowdstrike AWS User Federation Persistence)

In Entra ID environments with the app password feature enabled, adversaries may be able to add an app password to a user account.(Citation: Mandiant APT42 Operations 2024) As app passwords are intended to be used with legacy devices that do not support multi-factor authentication (MFA), adding an app password can allow an adversary to bypass MFA requirements. Additionally, app passwords may remain valid even if the user’s primary password is reset.(Citation: Microsoft Entra ID App Passwords)",https://attack.mitre.org/techniques/T1098/001,19 January 2020,24 October 2025,enterprise-attack,2.8,"Persistence, Privilege Escalation","IaaS, Identity Provider, SaaS",TRUE,T1098,"Alex Soler, AttackIQ; Arad Inbar, Fidelis Security; Arun Seelagan, CISA; Dylan Silva, AWS Security; Expel; Jannie Li, Microsoft Threat Intelligence Center (MSTIC); Oleg Kolesnikov, Securonix; Zur Ulianitzky, XM Cyber",,,"(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: GitHub Pacu),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks),(Citation: CrowdStrike StellarParticle January 2022),(Citation: Crowdstrike AWS User Federation Persistence),(Citation: Expel IO Evil in AWS),"
T1098.003,attack-pattern--2dbbdcd5-92cf-44c0-aea2-fe24783a6bc3,Account Manipulation: Additional Cloud Roles,"An adversary may add additional roles or permissions to an adversary-controlled cloud account to maintain persistent access to a tenant. For example, adversaries may update IAM policies in cloud-based environments or add a new global administrator in Office 365 environments.(Citation: AWS IAM Policies and Permissions)(Citation: Google Cloud IAM Policies)(Citation: Microsoft Support O365 Add Another Admin, October 2019)(Citation: Microsoft O365 Admin Roles) With sufficient permissions, a compromised account can gain almost unlimited access to data and settings (including the ability to reset the passwords of other admins).(Citation: Expel AWS Attacker)
(Citation: Microsoft O365 Admin Roles) 

This account modification may immediately follow [Create Account](https://attack.mitre.org/techniques/T1136) or other malicious account activity. Adversaries may also modify existing [Valid Accounts](https://attack.mitre.org/techniques/T1078) that they have compromised. This could lead to privilege escalation, particularly if the roles added allow for lateral movement to additional accounts.

For example, in AWS environments, an adversary with appropriate permissions may be able to use the <code>CreatePolicyVersion</code> API to define a new version of an IAM policy or the <code>AttachUserPolicy</code> API to attach an IAM policy with additional or distinct permissions to a compromised user account.(Citation: Rhino Security Labs AWS Privilege Escalation)

In some cases, adversaries may add roles to adversary-controlled accounts outside the victim cloud tenant. This allows these external accounts to perform actions inside the victim tenant without requiring the adversary to [Create Account](https://attack.mitre.org/techniques/T1136) or modify a victim-owned account.(Citation: Invictus IR DangerDev 2024)",https://attack.mitre.org/techniques/T1098/003,19 January 2020,24 October 2025,enterprise-attack,2.5,"Persistence, Privilege Escalation","IaaS, Identity Provider, Office Suite, SaaS",TRUE,T1098,"Alex Parsons, Crowdstrike; Alex Soler, AttackIQ; Arad Inbar, Fidelis Security; Arun Seelagan, CISA; Chris Romano, Crowdstrike; Clément Notin, Tenable; Microsoft Threat Intelligence Center (MSTIC); Pià Consigny, Tenable; Praetorian; Wojciech Lesicki",,,"(Citation: MSTIC DEV-0537 Mar 2022),(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: CrowdStrike StellarParticle January 2022),(Citation: MSTIC Octo Tempest Operations October 2023),(Citation: Microsoft Requests for Azure AD Roles in Privileged Identity Management),"
T1098.002,attack-pattern--e74de37c-a829-446c-937d-56a44f0e9306,Account Manipulation: Additional Email Delegate Permissions,"Adversaries may grant additional permission levels to maintain persistent access to an adversary-controlled email account. 

For example, the <code>Add-MailboxPermission</code> [PowerShell](https://attack.mitre.org/techniques/T1059/001) cmdlet, available in on-premises Exchange and in the cloud-based service Office 365, adds permissions to a mailbox.(Citation: Microsoft - Add-MailboxPermission)(Citation: FireEye APT35 2018)(Citation: Crowdstrike Hiding in Plain Sight 2018) In Google Workspace, delegation can be enabled via the Google Admin console and users can delegate accounts via their Gmail settings.(Citation: Gmail Delegation)(Citation: Google Ensuring Your Information is Safe) 

Adversaries may also assign mailbox folder permissions through individual folder permissions or roles. In Office 365 environments, adversaries may assign the Default or Anonymous user permissions or roles to the Top of Information Store (root), Inbox, or other mailbox folders. By assigning one or both user permissions to a folder, the adversary can utilize any other account in the tenant to maintain persistence to the target user’s mail folders.(Citation: Mandiant Defend UNC2452 White Paper)

This may be used in persistent threat incidents as well as BEC (Business Email Compromise) incidents where an adversary can add [Additional Cloud Roles](https://attack.mitre.org/techniques/T1098/003) to the accounts they wish to compromise. This may further enable use of additional techniques for gaining access to systems. For example, compromised business accounts are often used to send messages to other accounts in the network of the target business while creating inbox rules (ex: [Internal Spearphishing](https://attack.mitre.org/techniques/T1534)), so the messages evade spam/phishing detection mechanisms.(Citation: Bienstock, D. - Defending O365 - 2019)",https://attack.mitre.org/techniques/T1098/002,19 January 2020,24 October 2025,enterprise-attack,2.2,"Persistence, Privilege Escalation","Office Suite, Windows",TRUE,T1098,"Arad Inbar, Fidelis Security; Jannie Li, Microsoft Threat Intelligence Center (MSTIC); Microsoft Detection and Response Team (DART); Mike Burns, Mandiant; Naveen Vijayaraghavan; Nilesh Dherange (Gurucul)",,,"(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),(Citation: MSTIC Nobelium Oct 2021),(Citation: Microsoft - Customer Guidance on Recent Nation-State Cyber Attacks),(Citation: Mandiant APT29 Eye Spy Email Nov 22),(Citation: Mandiant APT29 Microsoft 365 2022),(Citation: FireEye APT35 2018),(Citation: Microsoft Albanian Government Attacks September 2022),(Citation: Volexity SolarWinds),(Citation: Gmail Delegation),"
